,Age,Attribution Skepticism,Impact Skepticism,Trend Skepticism,Response Skepticism,Gender,Marital,Education,Income,Cluster
109,38.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.3333333333333335,3,0,13.0,39000,2
110,50.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,2.3333333333333335,2,2,13.0,51800,2
111,45.0,1.6666666666666667,1.0,1.6666666666666667,2.6666666666666665,3,1,18.0,33000,2
112,46.0,2.0,0.3333333333333333,2.6666666666666665,2.6666666666666665,0,0,13.0,35000,1
113,19.0,1.0,0.3333333333333333,1.3333333333333333,2.6666666666666665,1,2,13.0,35000,1
114,53.0,2.6666666666666665,0.3333333333333333,2.0,2.0,0,1,13.0,35000,1
115,22.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,3,1,18.0,34000,2
116,53.0,4.0,3.0,3.0,2.3333333333333335,1,1,13.0,18000,0
117,33.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,2.3333333333333335,3,2,22.0,49000,2
118,45.0,3.0,4.0,4.0,2.0,1,1,8.0,11000,0
119,27.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,3,0,13.0,25000,2
120,36.0,1.6666666666666667,1.3333333333333333,2.6666666666666665,2.0,0,3,8.0,35000,1
121,19.0,0.0,0.3333333333333333,0.0,2.3333333333333335,3,1,18.0,29000,2
122,48.0,3.6666666666666665,3.3333333333333335,4.0,2.3333333333333335,2,3,8.0,16000,0
123,39.0,3.0,3.0,3.3333333333333335,2.0,3,5,5.0,20000,0
124,49.0,2.3333333333333335,0.3333333333333333,2.6666666666666665,1.6666666666666667,3,1,13.0,31000,2
125,38.0,4.0,4.0,3.6666666666666665,0.5,3,2,8.0,25200,0
126,26.0,1.0,1.0,0.3333333333333333,1.6666666666666667,2,1,25.0,28000,2
127,27.0,1.0,0.3333333333333333,1.0,2.0,0,0,18.0,31000,1
128,22.0,1.3333333333333333,1.0,0.3333333333333333,2.3333333333333335,3,0,18.0,33000,2
129,49.0,2.6666666666666665,0.6666666666666666,2.3333333333333335,2.3333333333333335,3,1,13.0,29000,2
130,49.0,4.0,3.0,3.3333333333333335,1.6666666666666667,0,1,5.0,25000,0
131,43.0,3.0,3.3333333333333335,3.6666666666666665,1.6666666666666667,3,4,18.0,21000,0
132,40.0,3.0,4.0,3.3333333333333335,2.3333333333333335,0,1,8.0,17000,0
133,48.0,3.0,4.0,3.3333333333333335,2.3333333333333335,3,1,13.0,21000,0
134,32.0,1.0,0.0,0.6666666666666666,2.0,2,1,13.0,32000,2
135,44.0,4.0,3.3333333333333335,3.3333333333333335,1.6666666666666667,3,1,13.0,17000,0
136,23.0,0.0,1.0,1.3333333333333333,2.3333333333333335,1,0,13.0,33000,1
137,39.0,2.6666666666666665,0.6666666666666666,2.3333333333333335,2.3333333333333335,3,1,8.0,28000,2
138,22.0,0.3333333333333333,0.0,0.0,2.3333333333333335,2,0,18.0,31000,2
139,42.0,1.6666666666666667,0.0,2.3333333333333335,2.0,2,1,13.0,40000,2
140,36.0,2.6666666666666665,0.0,2.0,2.6666666666666665,3,1,8.0,34000,2
141,27.0,0.6666666666666666,0.3333333333333333,1.0,2.3333333333333335,2,0,18.0,29000,2
142,45.0,3.3333333333333335,3.3333333333333335,3.6666666666666665,2.3333333333333335,3,1,8.0,22000,0
143,42.0,2.6666666666666665,1.0,2.0,2.6666666666666665,2,1,13.0,32000,2
144,37.0,1.6666666666666667,0.3333333333333333,2.3333333333333335,2.0,0,1,13.0,30000,1
145,36.0,2.3333333333333335,0.3333333333333333,2.0,1.6666666666666667,0,1,8.0,38000,1
146,33.0,1.3333333333333333,0.0,0.0,2.6666666666666665,0,0,18.0,30000,1
147,46.0,2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,3,1,18.0,32000,2
148,30.0,1.3333333333333333,1.0,1.0,2.0,1,0,18.0,27000,1
149,53.0,3.0,3.3333333333333335,3.0,2.3333333333333335,1,1,8.0,16000,0
150,54.0,2.3333333333333335,1.3333333333333333,2.0,2.6666666666666665,2,1,8.0,29000,0
151,34.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.0,1,0,22.0,36000,1
152,49.0,2.3333333333333335,0.3333333333333333,2.6666666666666665,1.6666666666666667,3,1,13.0,31000,2
153,36.0,4.0,3.3333333333333335,4.0,2.3333333333333335,2,1,13.0,21000,0
154,53.0,3.6666666666666665,4.0,3.3333333333333335,2.6666666666666665,2,1,8.0,13000,0
155,29.0,1.0,1.0,1.0,2.3333333333333335,2,0,18.0,25000,2
156,40.0,2.6666666666666665,0.3333333333333333,1.6666666666666667,2.3333333333333335,1,5,13.0,27000,1
157,40.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,2.6666666666666665,0,0,13.0,26000,1
158,41.0,3.0,3.3333333333333335,3.3333333333333335,1.6666666666666667,1,1,8.0,11000,0
159,55.0,3.0,3.0,3.0,2.0,0,2,8.0,32199,0
